,persian,english
1358,"اِنرونی‌ها

( نگرانی شبیه سهامداران اِنرون ناشی از سقوط قیمت آن شركت به خاطر بی‌انضباطی مالی و ارایه نادرست صورت وضعیت مالی آن توسط شرکت آرتور اندرسون و متعاقباً ورشکستگی شركت مزبور )",Enronits
1359,بنگاه اقتصادی,enterprise
1360,منطقۀ تجاری,enterprise zone
1361,کارآفرین,entrepreneur
1362,صندوق سرمایه‌گذاری زیست‌محیطی,environmental fund
1363,"آخر ماه 

( ترتیبات پرداخت به‌ویژه در قراردادهای عمده‌فروشی دارو )",EOM dating - end of month dating
1364, economic order quantity,EOQ
1365, earnings per share,EPS
1366,"قانون فرصت‌های اعتباری برابر 

( ضد تبعیض نژادی، جنسی، مذهبی و ... )",Equal Credit Opportunity Act
1367,سود سهام جبرانی,equalizing dividend
1368,قیمت تعادلی,equilibrium price
1369,شركت مختلط غیرسهامی لیزینگ تجهیزات,equipment leasing partnership
1370,"گواهی امانی تجهیزات

( اوراق قرضۀ تأمین مالی تجهیزات جدید )",equipment trust certificate
1371,ذی‌نفع اموال امانی,equitable owner
1372,"انصاف، حقوق سهامداران، خالص موجودی

	[ به طور کلی ] انصاف>
	[ حسابداری ] حقوق سهامداران (کوتاه‌شدۀ   shareholders’ equity ( بریتانیا ) یا owners’ equity ( امریکا ) مترادف net worth به‌معنای ارزش خالص ( دارایی‌ها )>
	[ بازار سرمایه ] خالص موجودی ( حساب",equity
1373,"واگذاری سهام اقلیّت 

( در شركت وابسته )",equity carve out
1374, CMO REIT,equity CMO
1375, mandatory convertibles,equity commitment notes
1376, mandatory convertibles,equity contract notes
1377,"تأمین مالی با سهام

مترادف  share capital",equity financing
1378,"سرمایه‌گذاری تركیبی 

( بیمۀ عمر و سهام صندوق سرمایه‌گذاری مشترک )",equity funding
1379,مستمری متكی به شاخص سهام,equity-indexed annuity
1380,"وام با چاشنی مالكیت 

( برخوردار شدن وام‌دهنده  از حق مالکیت )

مترادف  equity sweetener",equity kicker
1381,"صندوق سرمایه‌گذاری مالکیت مستغلات

متضاد  mortgage REIT",equity REIT-equity real estate investment trust
1382,معادل ثمر اوراق قرضه,equivalent bond yield
1383,معادل ثمر اوراق قرضۀ مشمول مالیات,equivalent taxable yield
1384,ساز و کار نرخ ارز,ERM-exchange rate mechanism
1385,"شرط افزایش 

( دستمزد، هزینه‌ها و اجاره )",escalator clause
1386,ضبط ( ترکۀ بلا‌وارث ),escheat
1387,"تودیع اسناد 

( نزد شخص ثالث )",escrow
1388,حساب امانی,escrow account
1389,"تودیع تا سررسید 

( نگهداری درآمد اوراق قرضۀ تازه منتشرشده در حساب امانی مجزا تا زمان بازپرداخت اوراق قرضۀ موجود در سررسید )",escrowed to maturity-ETM
1390,"رسید امانی 

( اختیار معامله )",escrow receipt
1391, public purpose bond,essential purpose (or function) bond
1392,ماتَرَک,estate 
1393,ادارۀ ماتَرَک,estate planning
1394,مالیات ماتَرَک,estate tax
1395, socially conscious mutual fund,ethical fund
1396,"خرید و فروش الکترونیکی 

( اوراق بهادار )",e - trade
1397,"یورکس

( بزرگ‌ترین بورس ابزار مشتقه )",Eurex
1398,"یورکس زوریخ 

( بورس آتی و اختیار معاملۀ سویس )

 Eurex",Eurex Zürich AG
1399,"یورو

( پول مشترک کشورهای عضو بانک مرکزی اروپایی )",Euro
1400,نرخ بهرۀ بین بانکی منطقۀ اروپا به یورو,EURIBOR-Eurozone interbank offering rate denominated Euros 
1401,اوراق قرضۀ اروپایی,Eurobond
1402,"اتاق پایاپای اروپایی 

( اوراق قرضه )",Euroclear
1403,"پول اروپایی

مترادف  Euromoney",Eurocurrency
1404,یورو دلار,Eurodollar
1405,اوراق قرضۀ یورو دلار,Eurodollar bond
1406,گواهی سپردۀ یورو دلار,Eurodollar certificate of deposit
1407,"یورونکست ان وی 

( اولین بورس فراملی اروپایی )",Euronext NV
1408,"شاخص یورونکست 100

( شاخص سهام برتر پان اروپایی )",Euronext 100 index
1409,بانک مرکزی اروپایی,European Central Bank-ECB
1410, depositary receipts,European Depositary Receipts
1411,اتحادیۀ اروپایی,European Union-EU
1412,اوراق قرضۀ یورو- ین,Euroyen bond
1413,ارزیاب,evaluator
1414,ریسک واقعه,event risk
1415, drip feed,evergreen funding
1416,بهرۀ کامل (365 روز ),exact interest
1417,"بدون مزایا 

( فروش اوراق بهادار بدون سود سهام، حق تقدم و هر امتیاز دیگر )",ex - all
1418,"ودیعۀ اضافی 


( حساب اعتباری نزد کارگزار )",excess margin
1419,"ذخیرۀ اضافی

( اضافه بر ذخیرۀ قانونی بانک‌ها نزد بانك مركزی )",excess reserves
1420,"بازدۀ اضافی 

( بازدۀ كل منهای بازدۀ بدون ریسك )",excess return
1421,"مبادله، تسعیر، تبدیل، تعویض، صرافی، بورس

	مبادله ( تهاتر کالا و خدمات )>
	تسعیر>
	تبدیل ( اوراق بهادار تبدیل‌پذیر به سهام )  swap>
	تعویض ( سهام صندوق‌های سرمایه‌گذاری )>
	صرافی>
	بورس ( كالا، اوراق بهادار )>
</ol>",exchange
1422,"تعهد بدهی تبدیل‌پذیر 

(به سهام عادی)",exchangeable debenture
1423,"خرید از طریق بورس 

(معاملۀ بلوکی سهام)",exchange acquisition
1424,کنترل ارز,exchange control
1425,"فروش از طریق بورس 

( معاملۀ بلوکی سهام )",exchange distribution
1426, exchange - traded funds-ETFs,exchange index securities
1427, exchange - traded funds-ETFs,exchange - listed portfolios
1428, income preferred securities,exchange notes
1429,"حق تعویض 

( صندوق‌های سرمایه‌گذاری هم‌خانواده )",exchange privilege
1430,"نرخ تسعیر

 fixed exchange rate",exchange rate
1431,محدودیت‌های ارزی,exchange restrictions
1432,ریسک ارزی,exchange risk 
1433, exchange-traded funds-ETFs,exchange shares
1434, basket,exchange stock portfolio-ESP
1435,"صندوق‌های قابل‌معامله در بورس 

( صندوق‌های سرمایه‌گذاری مشترک )

مترادف  exchange - listed portfolio

 HOLDRs",exchange - traded funds-ETFs
1436,آتی‌های ارزی قابل‌معامله در بورس,exchange - traded FX futures
1437,"استثنائات، معافیت

	استثنائات (نظیر موارد خارج از شمول بیمه)>
	معافیت ( مالیات )>
</ol>",exclusion
1438,"بدون سود

(در بازۀ زمانی اعلام سود سهام و پرداخت آن)

 unpaid dividend",ex - dividend
1439,تاریخ قطع سود,ex - dividend date
1440,"اجرا 


( قرارداد و احکام، سفارش خرید و فروش سهام )",execution
1441,مدیر ماتَرَک,executor / executrix
1442,"اوراق بهادار معاف از مقررات 

( فدرال رزرو، کمیسیون بورس و اوراق بهادار )",exempt securities
1443,"اِعمال 

( حق موضوع قرارداد اختیار معامله )",exercise
1444,"حد اِعمال

( حق موضوع قرارداد اختیار معامله )",exercise limit
1445,"آگهی اِعمال 

( حق موضوع قرارداد اختیار معامله )",exercise notice
1446,"قیمت اِعمال 

( حق موضوع قرارداد اختیار معامله )

مترادف  strike price",exercise price
1447,"قیمت تصفیه 

( قیمتی كه كارگزار، سهام خریداری‌شدۀ مشتری از محل حساب اعتباری نزد وی را به آن می‌فروشد تا كسری ودیعۀ ناشی از كاهش ارزش آن سهام را كه با اخطار كسری ودیعه تأمین نشده است، تأمین كند )",exhaust price
1448, export - import bank,eximbank
1449,"كارمزد فروش پسین

( صندوق سرمایه‌گذاری مشترك )

مترادف  deferred sales charge, redemption fee

 back end load",exit fee 
1450,"استراتژی خروج 

( سرمایۀ مخاطره‌آمیز، سفارش زیان‌گریز )",exit strategy
1451,"فاقد نظر حقوقی

( اوراق قرضه )",ex - legal
1452,"بازدۀ مورد انتظار

( سبد سرمایه‌گذاری )

 mean return",expected return
1453,"ارزش مورد انتظار 

( سرمایه‌گذاری )",expected value
1454,"نسبت مخارج


( صندوق سرمایه‌گذاری مشترک )

مترادف  operating expense ratio-OER",expense ratio
1455,مخارج,expenses
1456,"قیمت‌گذاری تجربی 

( بیمه‌نامه )",experience rating
1457,"انقضا 

( قراردادهای بانکی، اختیار معامله )",expiration
1458,"چرخۀ انقضا

( اختیار معامله )

 option cycles",expiration cycle
1459,معاملات خارج از تالار,ex - pit transaction
1460,"بانک صادرات - واردات 

( اگزیم بانک )",export - import bank-exim bank
1461,معرض ریسک,exposure
1462,مصادره,expropriation
1463,"بدون حق تقدم 

( سهام )

 ex - warrants",ex - rights
1464,دورۀ بدون سود سهام,ex - stock dividends
1465,"پوشش اضافی 

( قرارداد بیمه، ضمانت‌نامه )",extended coverage
1466,منابع برون شرکتی,external funds
1467,سود سهام اضافی,extra dividend
